SampleID,Zip_Code,Ward,Time,Lead_ppb
189,48506,4,First Draw,19.16
189,48506,4,Forty Five Sec,12.54
189,48506,4,Two Min,7.719
191,48503,5,First Draw,28.7
191,48503,5,Forty Five Sec,12.7
191,48503,5,Two Min,8.6
192,48507,9,First Draw,20.22
192,48507,9,Forty Five Sec,8.908
192,48507,9,Two Min,6.677
193,48507,8,First Draw,2.9
193,48507,8,Forty Five Sec,0.6
193,48507,8,Two Min,0.7
194,48503,7,First Draw,18.86
194,48503,7,Forty Five Sec,5.051
194,48503,7,Two Min,2.548
195,48507,9,First Draw,2.816
195,48507,9,Forty Five Sec,0.324
195,48507,9,Two Min,0.362
196,48506,3,First Draw,118.4
196,48506,3,Forty Five Sec,40.78
196,48506,3,Two Min,39.99
197,48506,3,First Draw,27.45
197,48506,3,Forty Five Sec,0.939
197,48506,3,Two Min,0.533
198,48503,7,First Draw,1.2
198,48503,7,Forty Five Sec,0.1
198,48503,7,Two Min,0.1
200,48506,4,First Draw,4.681
200,48506,4,Forty Five Sec,0.755
200,48506,4,Two Min,0.456
201,48506,3,First Draw,11.57
201,48506,3,Forty Five Sec,6.08
201,48506,3,Two Min,1.782
202,48532,8,First Draw,6.557
202,48532,8,Forty Five Sec,0.289
202,48532,8,Two Min,0.371
203,48505,3,First Draw,3.4
203,48505,3,Forty Five Sec,9.6
203,48505,3,Two Min,1.7
204,48504,6,First Draw,0.7
204,48504,6,Forty Five Sec,0.2
204,48504,6,Two Min,0.2
205,48507,8,First Draw,158
205,48507,8,Forty Five Sec,90.83
205,48507,8,Two Min,91.69
206,48506,4,First Draw,0.977
206,48506,4,Forty Five Sec,0.47
206,48506,4,Two Min,0.381
207,48503,8,First Draw,8.471
207,48503,8,Forty Five Sec,4.692
207,48503,8,Two Min,1.48
208,48507,9,First Draw,11.47
208,48507,9,Forty Five Sec,23.15
208,48507,9,Two Min,7.129
209,48503,7,First Draw,5.228
209,48503,7,Forty Five Sec,2.477
209,48503,7,Two Min,1.014
210,48507,9,First Draw,0.956
210,48507,9,Forty Five Sec,0.196
210,48507,9,Two Min,0.157
211,48504,6,First Draw,1.671
211,48504,6,Forty Five Sec,0.405
211,48504,6,Two Min,4.721
212,48507,9,First Draw,1.152
212,48507,9,Forty Five Sec,0.708
212,48507,9,Two Min,0.282
213,48507,9,First Draw,0.5
213,48507,9,Forty Five Sec,0.1
213,48507,9,Two Min,0.1
214,48503,5,First Draw,10.74
214,48503,5,Forty Five Sec,2.331
214,48503,5,Two Min,1.628
215,48507,9,First Draw,3.9
215,48507,9,Forty Five Sec,0.4
215,48507,9,Two Min,0.2
216,48507,9,First Draw,2.149
216,48507,9,Forty Five Sec,0.368
216,48507,9,Two Min,0.333
217,48506,4,First Draw,1.1
217,48506,4,Forty Five Sec,0.4
217,48506,4,Two Min,0.2
